sample_id,catalog_content,image_link,price
33127,37619,8969,4.890000000000001
198967,59280,34977,13.12
261251,5925,4146,1.97
55858,33658,3603,30.339999999999996
292686,74699,3831,66.49
9259,43746,62903,18.5
191846,27463,18282,5.99
222007,71114,30013,94.0
37614,46156,281,35.74
238044,45632,3595,31.8
254947,9029,702,15.99
283223,1671,41016,33.5
21740,35289,3074,6.98
170292,61748,944,4.255
71500,4485,62003,1.67
266475,50589,2778,81.44
88520,30551,10488,56.72
125583,4654,27090,5.47
271423,9586,16093,109.97
260842,59850,33940,50.99
267410,22347,2047,98.99
201749,1158,5134,32.09
194856,51360,47467,12.32
81813,1183,2097,4.12
234305,3629,5030,16.395
154376,68993,5503,17.095
202016,23279,34925,15.5
116291,36012,46858,20.61
234372,37435,29106,1.58
116974,14536,3687,19.845
178219,42666,2890,13.49
248217,41988,38510,12.78
22148,16523,72260,64.99
7575,15059,2084,30.78
100323,62081,9815,23.99
109029,10840,4626,12.85
38571,3774,5016,9.27
56340,31672,53420,29.96
196576,9439,2936,124.52
274881,63652,17749,16.99
166681,12088,6891,5.49
95469,14595,66176,12.23
255445,18022,24496,6.99
259866,34258,4067,58.13
59900,33281,4323,11.98
61692,53066,24711,29.94
56211,60831,5228,7.56
140715,20432,8502,34.57
186165,60095,2385,2.54
272258,73869,4947,4.42
191961,11750,29804,0.94
245797,66087,65593,6.69
278964,11606,52625,30.475
133751,24778,27276,34.925
188740,15766,71751,2.99
216435,6766,28734,20.79
147811,74130,50671,57.7
48188,29045,16627,24.99
260170,22138,6592,17.634999999999998
24701,38123,3442,10.49
65474,59668,51656,63.99
151954,8584,2518,11.46
25549,70525,10309,12.795000000000002
210101,9523,63604,29.99
22348,57186,52786,17.49
69365,1311,61160,79.99
43008,14488,5983,11.1
182264,34424,72224,7.99
117130,71367,44225,26.13
236193,41505,3908,42.495
202733,680,35510,29.99
35395,10949,33099,1.755
66928,43486,207,24.01
201717,73904,40212,19.725
239169,22999,6508,15.74
191671,4152,9479,16.99
240701,35809,27300,33.56
172422,15015,13348,16.99
166878,3944,2151,4.99
31920,28771,11998,14.61
247546,39154,70042,17.99
7411,20624,6614,2.5999999999999996
218503,72169,49665,7.465
86106,58145,27718,32.49
115306,784,45129,14.99
182492,71572,2984,4.890000000000001
202254,68889,4145,298.0
164888,74760,3661,7.99
7984,65332,4842,1.24
3294,41679,5063,213.26
181347,5308,37192,11.135
159362,35744,19875,33.29
273689,14871,2221,21.36
51564,66842,63787,45.27
81259,12940,47441,5.49
131791,32551,1774,2.29
228657,2596,9174,30.37
21269,7532,8122,19.19
17024,58746,70515,4.79
286405,23946,9513,44.74
14079,2367,36990,2.19
129107,1208,38041,10.985
224077,59712,4139,5.98
125263,8116,3016,15.6
275308,24186,27028,4.19
189369,74254,6645,15.955
62153,56052,63305,35.49
148336,63062,23031,86.99
39817,62094,6333,12.185
296273,13920,1095,6.19
3762,13250,42194,10.48
283764,14715,26197,93.89
167015,42391,46795,3.82
167146,71156,15982,17.28
88555,1707,40202,26.47
75673,74233,33528,2.005
133577,28004,3411,16.95
208446,46500,56908,10.97
116477,73449,22501,70.52
124069,23857,11633,14.92
274873,39783,20157,6.67
156028,22049,24137,13.28
126465,68774,12228,21.72
188613,31876,57011,23.625
117358,34134,3215,10.94
137859,59223,56543,5.39
76461,70173,5010,10.13
144305,41616,48340,56.01
108235,65209,31937,15.935
203467,46694,2957,10.99
114665,52047,5696,8.57
255165,19017,58609,49.29
46363,57724,67644,10.99
248456,36634,3292,2.99
273526,71310,5317,4.79
30664,9479,30527,39.99
60806,3037,69780,61.99
67927,39563,22442,44.0
155886,6703,48207,1.89
264011,15713,71667,62.010000000000005
209694,31123,52171,7.24
150391,33339,2363,18.25
79260,59675,3472,4.79
6306,20022,37311,39.03
142282,56604,1949,38.54
71590,23727,4482,4.69
240535,30517,3515,12.995
146884,5647,2257,17.9
230905,72806,66615,14.99
160200,33071,2420,4.32
39416,46155,1012,5.29
169191,10129,27568,5.49
274674,19547,72250,5.345
44612,16480,38162,6.64
65166,62106,19334,14.95
193140,52900,70161,39.99
259502,7871,15640,24.81
74357,11981,44808,14.4
218798,17602,21195,19.99
233065,14836,45128,1.49
72342,22988,1638,46.41
72067,106,5346,9.85
84196,66810,22587,12.45
107365,67148,27967,20.99
26936,34690,55855,4.39
272978,28051,44436,7.04
45565,70334,13861,11.99
93888,29062,4974,29.95
237048,7084,67515,18.85
136095,35640,25593,11.485
282038,62829,22323,9.715
270438,35063,4674,24.99
108458,68446,1194,19.99
171908,68981,70678,30.94
231177,16801,57135,33.47
295482,58305,15265,14.9
146177,44318,12717,6.99
233511,7632,51538,79.95
204586,25602,7290,89.98
272332,356,14065,15.95
20013,50085,1946,33.5
248978,32606,42126,10.99
81251,5291,53429,26.39
167614,37373,5737,10.02
124087,2125,23018,24.33
291251,66188,56284,8.99
2511,41308,63095,50.76
206609,1718,33399,32.3
127502,58151,55048,29.99
261368,55160,59689,14.105
66293,33768,15984,38.0
19141,7882,7741,9.98
215554,60903,52445,4.69
251784,61000,44595,5.88
280942,53657,6833,7.99
265271,27095,22414,21.99
255173,56746,10025,88.09
165947,33136,3863,5.49
185249,65334,9716,7.29
86828,25709,36542,4.265
13491,55543,32876,9.455
82516,38023,2821,15.1
79135,10159,17841,12.05
215511,30302,44278,23.09
2733,59533,7975,20.78
105749,53606,60459,2.08
272720,30871,1794,27.74
168686,47852,37411,2.72
3788,18823,69678,2.92
177943,12794,13564,9.99
39160,58535,1075,76.53
164369,34291,53657,61.42
146900,38168,60149,117.49
71599,48334,71634,1.535
31805,60217,3303,14.95
65177,60385,46166,3.29
91401,57336,29886,4.99
59342,21819,63797,8.17
250421,44250,20259,25.95
55945,3129,2125,6.99
172952,74861,63926,6.99
184656,47978,38899,9.99
195629,72404,45817,225.55
194822,54303,2348,2.98
152840,25760,43129,3.68
72337,5549,3922,8.145
59184,30693,53126,19.99
67074,37542,67559,4.885
234638,3934,59055,12.99
33808,66339,70639,26.99
124622,61085,13157,32.86
271271,14902,34701,21.99
198446,25102,31610,21.665
192504,37345,48258,16.425
124436,22520,39514,26.26
256100,41192,32641,58.76
41876,64638,70312,6.49
76807,1292,72244,8.99
132073,64146,70509,36.435
9657,3727,47364,14.39
39474,61051,2098,49.94
47207,47927,30657,12.614999999999998
129147,40855,9853,4.12
169944,63516,2994,4.390000000000001
127274,59236,56580,2.6
66204,16676,65870,54.95
212009,25514,3548,145.99
93408,32980,45926,6.8
201777,22681,60350,89.99
174512,59664,32308,4.99
154686,3108,8812,11.49
22275,26943,4591,27.95
36991,6516,68656,8.9
112112,68445,66749,24.99
211620,43684,3672,33.29
238772,16228,50102,9.49
295040,43403,2955,8.64
87665,38361,39501,2.0
296813,59024,21164,26.84
44704,63794,59304,21.46
197319,45899,17098,42.0
270826,53437,4033,61.99
185492,13855,9760,2.99
198241,5729,27282,52.99
191919,51717,57848,41.75
294361,69159,34185,6.49
215947,15176,6587,34.99
64454,48793,21549,13.99
189578,10054,2933,2.99
111069,48932,46272,39.59
270971,42662,37405,7.98
255696,32505,66470,6.74
113777,31046,19891,32.82
106857,49275,3532,8.49
214226,7443,35296,2.5
268097,35134,24906,7.83
94638,29986,65404,30.435
134898,2087,68246,5.0
225513,34858,49460,4.9350000000000005
221411,1738,2909,24.98
193026,55883,61091,6.6899999999999995
215272,45461,9570,33.98
293950,73581,2772,19.95
74083,34449,1676,4.29
6479,9409,3207,4.79
21859,34201,62221,30.995
135228,21914,3404,36.99
263361,37038,9129,32.235
1831,53752,57228,26.09
156446,20230,56433,8.53
17314,54915,43076,42.95
245291,50498,28256,21.95
171425,18009,60987,19.225
39667,31699,753,1.28
3550,68478,15507,58.53
280705,9053,1743,7.55
17029,6976,22891,5.99
136274,33382,1445,5.88
274982,55983,44108,10.99
231191,63551,2466,12.17
82932,37504,11156,21.77
197196,56523,57653,6.99
130340,61845,6633,21.525
235609,3596,53609,46.97
34652,18314,6491,13.79
273107,58175,11585,6.99
200663,46667,23943,12.99
149603,7416,63040,38.54
220733,46223,30336,14.99
251861,6542,55668,10.0
172242,15631,6120,3.49
99834,18482,8022,6.140000000000001
32297,28758,12666,16.99
178981,465,1349,65.32
217556,43697,11251,61.99
216333,60882,61307,2.58
220717,58620,38923,65.0
195040,6350,3465,29.99
147682,26900,62796,45.27
183101,32190,13716,26.4
151583,17327,9669,10.435
37943,7076,10857,61.42
93640,26098,71944,19.145
286875,58915,1132,18.5
207294,40755,2874,2.59
196633,70683,61445,56.1
182280,37697,11910,2.28
77165,27542,45756,3.39
262403,30081,15160,9.095
23520,1721,30335,12.0
194351,45275,10397,7.99
402,24273,38884,17.96
106058,39860,66333,16.74
7603,74039,32324,34.0
287712,10509,13077,13.95
260789,20103,65270,42.9
48835,3092,3876,4.245
156401,31871,43110,5.29
52248,71269,47548,14.99
224633,69567,59447,18.37
291119,30161,29178,5.785
206125,53103,71561,47.99
220718,8714,6799,22.99
268878,11630,25955,8.37
22787,18442,26881,6.105
87537,66348,6465,22.69
120063,17042,55554,42.39
106361,16281,61073,32.34
287764,68661,22251,14.99
55196,12585,44937,65.7
193960,6357,10744,4.46
216337,60879,51026,18.28
50253,22353,34388,52.98
170960,9478,36138,39.99
144073,21522,3393,30.01
201477,33825,47667,38.49
263102,58108,1618,55.38
202612,49137,20378,14.39
228323,38393,6380,20.6
10373,33461,63667,11.94
118238,10194,45786,9.86
148947,70885,34514,11.07
142345,70785,1972,52.61
84044,56730,20868,23.29
289330,28871,47062,2.99
233938,34153,5436,24.5
12068,71748,44666,12.88
266573,66828,18100,5.62
247742,58845,3419,13.99
120806,73724,4024,1.88
76474,14856,29700,77.99
196481,24987,3457,43.32
96295,11967,673,21.775
148380,7497,4090,50.58
137493,37035,62630,20.915
54835,13397,49604,13.99
132016,29041,21008,8.95
204405,9393,6740,32.0
257677,18700,9902,2.2649999999999997
114494,26566,41953,76.265
262627,59961,19808,20.5
69995,25852,32243,21.995
57055,14017,21046,58.99
280880,7811,3523,2.89
71915,50947,25831,68.99
12865,2365,31853,3.12
277020,73587,40214,3.22
165102,73085,67655,25.49
677,10214,3734,4.99
24786,62310,7903,59.0
48174,61608,8607,4.98
7354,15067,3259,85.97
234300,56205,5147,12.99
71904,49544,2463,30.195
207195,54398,20654,47.99
265747,39211,62754,8.99
122675,53980,3836,2.49
117269,68671,9952,4.56
297779,71347,35132,16.99
79644,29216,5508,5.34
186864,69578,25431,18.99
17652,58190,46929,5.48
127091,73052,3053,2.5
174936,6461,26525,13.545
171843,34720,66117,57.98
46755,19693,35711,3.1950000000000003
26228,58056,7917,4.17
157640,44624,4779,75.31
90584,65236,8600,30.62
245967,37124,9499,15.99
58392,56321,7565,22.99
66199,46920,1962,6.61
162946,9766,5392,9.32
240448,20768,59320,18.39
111586,47782,2532,54.55
129519,52301,41275,13.95
126792,34836,49091,6.99
121330,54606,2603,30.62
248540,18965,58562,9.44
278391,5982,24517,34.49
54763,34676,3516,4.19
201621,19108,2586,21.7
46952,43429,71629,0.97
288832,37788,42582,7.8
227646,69889,70988,18.125
176719,37678,18323,4.79
152219,57906,39602,17.98
264100,201,719,19.565
281234,2148,11789,3.89
293601,40628,22583,10.99
40371,63297,6339,2.79
286342,58793,11545,7.59
82162,20288,43335,7.49
174378,34944,58323,10.2
85610,4573,35494,6.635
93622,56083,1682,22.99
201415,4061,66942,166.51999999999998
116819,27194,8517,38.99
30676,61339,64692,4.640000000000001
243522,47293,42603,8.18
110096,45711,48314,38.334999999999994
218463,514,37545,13.78
244730,47161,27391,5.98
128662,59045,72254,32.95
233413,48415,2211,68.77
231341,4259,2013,76.99
25150,33041,2209,14.95
215004,18737,26406,59.99
160629,42976,71919,36.735
269887,40585,7478,7.9
294750,29915,50875,38.99
258244,40279,67906,28.585
91169,16714,830,29.68
2563,38616,63677,56.37
149424,65386,50757,9.99
241069,46829,10125,8.665
214130,3570,62478,9.99
210658,41230,3322,7.375
34249,47780,2478,45.0
213650,10629,58091,9.04
19113,34249,21090,49.59
217093,49547,20806,24.29
162479,36620,32048,4.48
215355,61286,22943,24.99
34853,64875,47477,9.69
5238,8658,2144,2.22
199181,40509,17400,1.34
30763,3013,32253,3.29
